ATFD_type,FANOUT_type,number_private_visibility_methods,number_standard_design_methods,CFNAMM_type,AMWNAMM_type,AMW_type,WMCNAMM_type,NOMNAMM_type,NOCS_type,number_not_final_static_methods,WMC_type,number_static_methods,CBO_type,number_protected_visibility_methods,RFC_type,TCC_type,LCOM5_type,isStatic_type,LOCNAMM_type,LOC_type,NOM_type,number_final_static_methods,number_final_not_static_methods,number_not_abstract_not_final_methods,number_final_methods,num_static_attributes,is_god_class
0,1,0,10,1,1.545455,1.545455,17,11,1,0,17,0,0,0,12,0.622222,0.3,0,146,146,11,0,9,2,9,0,0
0,0,1,1,0,7.0,7.0,7,1,0,0,7,0,0,0,1,1.0,0.0,0,42,42,1,0,0,2,0,0,0
0,2,0,3,4,2.75,2.75,11,4,0,0,11,0,5,0,8,0.0,1.0,0,51,51,4,0,1,1,1,0,0
0,1,0,3,0,3.666667,1.75,11,3,0,0,21,0,1,0,13,0.30303,0.857143,0,79,164,12,0,0,13,0,2,0
0,0,0,5,0,1.0,1.0,7,7,0,0,15,0,0,1,15,0.461538,0.732143,0,49,97,15,0,0,15,0,0,0
11,12,1,5,20,8.0,7.285714,48,6,0,0,51,1,13,2,38,0.2,0.866667,0,306,321,7,1,2,4,3,0,1
1,4,3,8,2,2.222222,2.222222,20,9,2,2,20,2,3,0,13,1.0,0.825,0,200,200,9,0,0,9,0,2,0
1,0,0,1,0,2.0,2.0,2,1,0,0,2,0,1,0,1,1.0,0.0,0,10,10,1,0,0,2,0,0,0
0,0,0,1,0,1.0,1.0,1,1,0,0,4,0,0,0,4,0.333333,0.666667,0,7,25,4,0,0,5,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,8,0,0,0,8,0.14285699999999998,0.857143,0,47,47,8,0,0,9,0,0,0
0,0,0,2,0,1.0,1.0,2,2,0,0,8,0,0,0,8,0.14285699999999998,0.857143,0,11,47,8,0,0,9,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,16,0,3,0,16,0.06666699999999999,0.933333,0,91,91,16,0,0,17,0,0,0
0,2,0,4,2,1.0,1.0,5,5,0,0,5,0,9,3,18,0.0,0.0,0,29,29,5,0,0,5,0,0,0
2,2,0,5,4,1.0,1.0,6,6,0,0,7,0,9,3,19,1.0,0.166667,0,38,48,7,0,0,7,0,0,0
3,2,0,5,2,1.333333,1.333333,8,6,0,0,8,0,9,3,18,0.0,0.0,0,39,39,6,0,0,6,0,0,0
0,0,5,62,0,11.893939,11.893939,785,66,0,0,785,5,1,4,66,0.007519,0.996923,0,1917,1917,66,5,56,5,61,5,1
13,6,3,6,8,6.857142999999999,6.857142999999999,48,7,2,0,48,0,6,0,23,0.0,1.0,0,301,301,7,0,0,7,0,0,1
0,0,0,0,0,1.0,1.0,2,2,0,0,2,0,0,0,2,1.0,0.0,0,8,8,2,0,0,2,0,0,0
0,0,0,2,0,2.0,2.0,4,2,0,0,4,0,0,0,2,0.0,0.0,1,12,12,2,0,0,3,0,0,0
25,15,18,21,21,5.181818,5.181818,114,22,3,0,114,0,15,0,69,0.333333,0.9642860000000001,0,603,603,22,0,0,22,0,2,1
5,2,1,4,1,1.0,1.75,7,7,0,0,21,0,5,0,39,1.0,0.636364,0,45,96,12,0,0,12,0,0,0
29,28,27,30,46,2.193548,2.121212,68,31,9,0,70,0,23,2,104,0.3,0.94184,0,1015,1043,33,0,0,33,0,0,1
0,0,8,10,0,4.181818,4.181818,46,11,0,1,46,1,0,0,11,1.0,0.933333,0,228,228,11,0,0,11,0,0,0
0,1,0,0,1,1.5,1.1,3,2,0,0,11,0,1,0,11,0.14285699999999998,0.8888889999999999,0,22,86,10,0,0,10,0,0,0
39,11,5,18,20,13.222222,13.222222,238,18,0,18,238,18,21,0,71,0.461538,0.894958,0,1172,1172,18,0,0,18,0,14,1
0,1,0,2,1,1.0,1.0,2,2,0,0,9,0,2,0,18,0.166667,0.84375,0,30,86,9,0,0,9,0,0,0
30,10,2,21,25,12.478261,12.478261,287,23,0,16,287,17,12,0,57,0.280702,0.87987,0,1288,1288,23,1,0,22,1,13,1
0,0,0,0,0,0.0,1.0,0,0,0,0,4,0,1,0,4,0.333333,1.0,0,63,95,4,0,0,5,0,5,0
6,2,31,69,6,9.771429,9.771429,684,70,0,38,684,38,5,0,76,0.495021,0.928327,0,2999,2999,70,0,5,65,5,28,1
3,7,4,15,19,2.647059,2.647059,45,17,2,0,45,0,6,4,39,0.363636,0.89375,0,571,571,17,0,0,15,0,0,1
2,2,0,1,2,4.0,4.0,8,2,0,0,8,0,2,0,6,1.0,1.0,1,66,66,2,0,0,2,0,0,0
0,5,1,5,7,3.857143,3.857143,27,7,3,2,27,2,2,0,14,0.0,1.0,0,239,239,7,0,0,5,0,0,0
1,4,2,5,7,1.0,1.4,6,6,1,0,14,0,8,0,27,0.190476,0.955556,0,91,149,10,0,0,10,0,0,0
14,17,4,38,46,3.384615,3.325,132,39,1,29,133,38,20,0,94,0.23968299999999998,0.959936,0,1234,1243,40,9,0,31,9,16,1
0,0,0,0,0,1.0,1.0,3,3,0,0,11,0,0,0,11,0.14285699999999998,0.9,0,43,83,11,0,0,11,0,0,0
0,1,0,1,1,2.0,2.0,2,1,0,0,2,0,5,0,10,1.0,0.0,0,8,8,1,0,0,2,0,0,0
0,2,0,3,4,2.333333,1.8,7,3,0,0,9,0,7,0,27,0.6,0.75,0,75,95,5,0,0,5,0,0,0
6,9,0,14,23,4.0,2.448276,56,14,1,0,71,0,12,4,67,0.108374,0.9523809999999999,0,477,573,29,0,0,29,0,1,1
7,3,0,1,9,3.5,1.625,7,2,0,0,13,0,5,0,19,0.380952,0.8857139999999999,0,64,100,8,0,0,8,0,0,0
0,0,1,0,0,1.0,1.0,1,1,0,0,1,0,0,0,1,1.0,0.0,0,252,252,1,0,0,1,0,48,0
0,0,1,0,0,1.0,1.0,1,1,0,0,1,0,0,0,1,1.0,0.0,0,83,83,1,0,0,1,0,14,0
8,15,0,10,29,4.4545449999999995,4.4545449999999995,49,11,3,0,49,0,26,4,137,0.22222199999999998,0.96,0,323,323,11,0,0,11,0,1,1
0,0,0,1,0,2.0,2.0,2,1,0,0,2,0,0,0,1,1.0,0.0,0,9,9,1,0,0,2,0,0,0
1,2,0,1,2,4.0,1.583333,8,2,0,1,19,1,2,0,14,0.163636,0.8909090000000001,0,42,97,12,0,0,12,0,0,0
14,20,1,54,95,5.327273,4.782609,293,55,0,1,330,1,21,6,189,0.47399399999999997,0.941816,0,1949,2133,69,0,0,69,0,3,1
0,0,0,1,0,1.5,1.5,3,2,0,0,3,0,0,1,2,1.0,1.0,0,21,21,2,0,0,2,0,0,0
11,23,9,23,29,8.416667,10.533333,202,24,0,0,316,0,27,1,69,0.636842,0.896552,0,815,1323,30,0,0,30,0,0,1
0,1,0,7,1,1.0,1.266667,8,8,0,0,19,0,3,0,16,0.032967,1.0,0,155,263,15,0,0,13,0,5,0
0,0,0,0,0,1.0,1.0,1,1,0,0,17,0,0,0,17,0.06666699999999999,0.9375,0,1,97,17,0,0,17,0,0,0
3,3,2,12,3,3.9230769999999997,3.9230769999999997,51,13,0,2,51,2,4,0,19,0.755556,0.683333,0,218,218,13,0,0,13,0,1,1
0,0,0,1,0,2.0,2.0,2,1,0,0,2,0,0,0,1,1.0,0.0,0,8,8,1,0,0,2,0,0,0
101,41,19,70,71,4.712329,2.938272,344,73,0,6,476,9,57,3,328,0.27739,0.984028,0,2065,3129,162,3,0,159,3,3,1
1,0,0,1,0,2.0,1.02439,2,1,0,0,42,0,11,0,41,0.029268000000000002,0.9725,0,380,380,41,0,0,42,0,0,0
0,0,0,0,0,0.0,1.333333,0,0,0,0,8,0,0,0,6,0.333333,0.733333,0,61,61,6,0,0,7,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,6,0,0,0,6,0.2,0.8,0,26,26,6,0,0,6,0,0,0
0,14,6,15,23,3.5,3.5,56,16,5,15,56,15,9,0,42,0.622222,0.866667,0,561,561,16,0,0,16,0,1,1
0,1,0,3,2,1.0,1.4,3,3,0,0,14,0,2,0,12,0.13333299999999998,0.8611110000000001,0,21,90,10,0,0,11,0,0,0
6,23,6,30,47,4.451613,4.451613,138,31,2,0,138,0,27,0,82,0.40579699999999996,0.8111109999999999,0,1142,1142,31,0,0,31,0,3,1
1,1,0,0,1,1.0,1.0,1,1,0,0,7,0,3,0,25,0.2,0.833333,0,3,33,7,0,0,7,0,0,0
0,0,0,0,0,1.0,1.0,1,1,0,0,8,0,1,0,8,0.14285699999999998,0.892857,0,3,38,8,0,0,8,0,0,0
1,0,0,0,0,1.0,1.0,1,1,0,0,12,0,2,0,12,0.090909,0.924242,0,1,56,12,0,0,12,0,0,0
2,0,0,0,0,1.0,1.0,1,1,0,0,14,0,2,0,14,0.076923,0.934066,0,0,65,14,0,0,14,0,0,0
0,0,0,0,0,1.0,1.0,1,1,0,0,10,0,1,0,10,0.11111099999999999,0.911111,0,2,47,10,0,0,10,0,0,0
0,1,1,5,1,1.833333,1.833333,11,6,1,0,11,0,0,1,7,0.0,1.0,0,59,59,6,0,0,6,0,0,0
0,0,0,1,0,1.0,1.0,1,1,0,0,1,0,1,0,1,1.0,0.0,0,5,5,1,0,0,2,0,0,0
51,7,7,14,18,11.0,10.529411999999999,165,15,0,1,179,1,10,0,49,0.722222,0.825893,0,616,695,17,0,0,17,0,3,1
13,4,3,6,8,3.875,3.875,31,8,0,0,31,0,6,0,16,0.5,0.892857,0,125,125,8,0,0,8,0,0,0
65,24,11,62,50,7.3333330000000005,7.138462,462,63,0,8,464,8,26,0,126,0.335994,0.9454370000000001,0,2127,2137,65,0,0,65,0,25,1
122,19,29,32,49,9.151515,8.685714,302,33,0,1,304,1,27,0,112,0.0,1.0,0,1677,1690,35,0,0,35,0,2,1
127,18,12,14,26,5.9375,5.9375,95,16,0,1,95,1,19,0,107,1.0,1.0,0,590,590,16,0,0,16,0,14,1
71,14,7,11,55,3.9230769999999997,3.9230769999999997,51,13,0,2,51,2,17,0,81,1.0,0.9973120000000001,0,531,531,13,0,0,13,0,26,1
0,3,3,6,3,1.285714,1.214286,9,7,2,0,17,0,1,0,17,0.533333,0.868132,0,190,250,14,0,0,14,0,0,0
36,62,40,62,103,2.84127,2.705882,179,63,35,22,184,22,33,0,197,0.219373,0.992743,0,1826,1867,68,0,0,68,0,48,1
6,19,18,44,32,3.891304,3.4406779999999997,179,46,12,0,203,0,9,0,96,0.12010799999999999,0.9709049999999999,0,957,1097,59,0,0,59,0,2,1
0,1,0,2,1,1.0,1.0,2,2,0,0,2,0,3,0,3,0.0,0.0,0,12,12,2,0,0,3,0,0,0
0,2,1,3,2,1.0,1.0,4,4,0,0,4,0,3,0,6,1.0,0.0,0,29,29,4,0,0,4,0,0,0
1,3,0,3,4,1.0,1.0,4,4,0,0,9,0,4,0,13,0.642857,0.71875,0,38,94,9,0,1,8,1,0,0
5,9,0,11,20,1.75,1.75,21,12,0,0,21,0,11,1,34,0.8909090000000001,0.8636360000000001,0,290,290,12,0,0,12,0,1,0
1,5,0,1,7,2.0,1.5,2,1,0,0,3,0,5,0,9,1.0,1.0,0,30,47,2,0,0,3,0,1,0
0,0,0,2,0,1.25,1.111111,5,4,0,0,10,0,0,0,9,0.14285699999999998,0.9375,1,67,117,9,0,0,9,0,0,0
24,13,1,62,67,3.4,3.205479,221,65,1,0,234,0,19,0,178,0.471441,0.894965,0,1706,1812,73,0,0,73,0,2,1
0,0,0,0,0,1.0,1.0,1,1,0,0,1,0,0,0,1,1.0,0.0,0,24,24,1,0,0,1,0,3,0
3,3,1,4,6,1.142857,1.333333,8,7,0,0,12,0,3,0,12,0.0,1.0,0,93,131,9,0,0,9,0,0,0
0,0,4,12,0,2.142857,2.142857,30,14,0,0,30,0,0,0,14,0.464286,0.8461540000000001,0,255,255,14,0,0,14,0,0,0
0,2,0,7,8,1.25,1.25,10,8,0,0,10,0,2,0,16,1.0,0.14285699999999998,0,88,88,8,0,0,8,0,0,0
2,13,0,7,14,2.125,2.125,17,8,0,1,17,1,15,1,23,0.047619,1.0,0,155,155,8,0,0,5,0,8,0
0,0,0,6,0,1.0,1.304348,7,7,0,0,30,0,0,0,23,0.051948,0.9787879999999999,1,41,149,23,0,0,23,0,5,0
39,47,4,16,97,11.235294,10.888889,191,17,17,1,196,1,45,0,133,0.19230799999999998,0.9144389999999999,0,2143,2165,18,0,0,18,0,12,1
0,2,0,1,2,1.0,1.0,2,2,0,0,2,0,9,0,22,1.0,0.0,0,21,21,2,0,0,2,0,0,0
1,2,1,2,1,1.0,1.0,3,3,0,1,3,1,2,0,11,0.0,1.0,0,31,31,3,0,0,3,0,1,0
8,45,0,84,59,1.729412,1.6730770000000001,147,85,33,0,174,0,16,82,175,0.102798,0.980917,0,1384,1526,104,0,0,104,0,1,1
1,4,0,4,5,1.6,1.7,8,5,1,0,17,0,4,2,15,0.11111099999999999,1.0,0,169,227,10,0,0,10,0,1,0
0,1,0,2,1,2.0,2.0,4,2,0,0,4,0,1,2,3,1.0,0.0,0,24,24,2,0,0,2,0,1,0
0,0,0,11,0,1.0,1.0,11,11,0,0,11,0,0,0,11,0.0,0.0,0,58,58,11,0,0,11,0,0,0
21,29,10,24,49,5.24,3.947368,131,25,0,0,150,0,39,1,130,0.327635,0.926868,0,637,745,38,0,0,38,0,0,1
3,5,3,52,4,1.660377,1.52809,88,53,4,0,136,0,1,21,94,0.11512599999999999,0.959583,0,1633,2078,89,0,0,89,0,34,1
0,3,0,22,3,2.782609,2.76,64,23,3,0,69,0,2,18,43,0.181159,0.9702379999999999,0,576,596,25,0,0,25,0,4,0
32,3,35,46,3,5.3125,4.8,255,48,1,0,264,0,3,7,72,0.326797,0.9617549999999999,0,2128,2214,55,0,0,55,0,17,1
0,2,0,19,4,7.0,5.75,133,19,1,0,138,0,2,14,48,0.300725,0.901186,0,1166,1231,24,0,2,23,2,3,1
0,0,0,5,0,1.333333,1.181818,8,6,0,0,13,0,0,0,11,0.177778,0.9,0,83,121,11,0,0,11,0,0,0
44,3,33,46,8,4.595745,4.38,216,47,0,0,219,0,4,7,73,0.35,0.963673,0,2022,2044,50,0,0,50,0,14,1
0,0,0,0,0,1.0,1.0,1,1,0,0,9,0,0,0,9,0.14285699999999998,0.875,1,11,75,9,0,0,9,0,0,0
0,1,0,1,2,13.0,13.0,26,2,0,0,26,0,3,0,12,1.0,1.0,0,129,129,2,0,0,2,0,5,0
0,1,0,0,0,1.0,1.0,2,2,0,0,5,0,2,0,6,0.0,1.0,0,83,120,5,0,0,5,0,16,0
0,0,0,0,0,1.0,1.0,2,2,0,0,15,0,0,0,15,0.089744,0.9285709999999999,0,17,97,15,0,0,15,0,0,0
0,0,0,1,0,1.0,1.0,3,3,0,0,8,0,0,0,8,0.2,0.857143,0,17,47,8,0,0,8,0,0,0
12,53,7,72,67,2.680556,2.680556,193,72,0,70,193,72,55,0,144,0.154327,0.970951,0,1550,1550,72,2,0,70,2,33,1
14,12,1,37,34,4.263158,4.1,162,38,1,0,164,0,11,22,88,0.42674300000000004,0.9638690000000001,0,1100,1127,40,0,0,40,0,7,1
1,0,0,3,0,2.333333,2.333333,7,3,0,0,7,0,1,0,3,0.0,0.0,0,29,29,3,0,0,4,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,6,0,0,0,6,0.2,0.8,0,19,61,6,0,0,7,0,0,0
43,69,4,118,181,3.194915,2.770701,377,118,46,0,435,0,31,62,366,0.24011,0.9896450000000001,0,3392,3877,157,0,0,155,0,6,1
3,1,1,26,1,12.037037,10.709677000000001,325,27,0,1,332,1,2,18,32,0.278325,0.92619,0,1357,1399,31,0,0,31,0,14,1
38,27,8,15,60,8.222222,7.904762,148,18,0,1,166,1,34,1,115,0.4,0.9865079999999999,0,1277,1381,21,0,0,21,0,59,1
0,0,0,4,0,5.2,3.4444440000000003,26,5,0,1,31,1,0,0,9,0.535714,0.953571,0,161,177,9,0,0,9,0,21,0
1,3,0,1,3,1.0,1.0,2,2,0,0,6,0,5,1,13,0.6,0.6,0,24,36,6,0,0,6,0,0,0
0,0,0,0,0,1.0,1.0,1,1,0,0,7,0,1,0,7,0.2,0.833333,1,3,21,7,0,0,7,0,0,0
0,0,0,0,0,1.0,1.0,1,1,0,0,7,0,0,0,7,0.2,0.666667,1,2,20,7,0,0,7,0,0,0
0,0,0,0,0,1.0,1.0,1,1,0,0,1,0,0,1,1,1.0,0.0,1,16,16,1,0,0,1,0,0,0
0,4,1,0,4,1.0,1.0,1,1,0,0,1,0,4,0,5,1.0,0.0,0,71,71,1,0,0,1,0,6,0
0,1,5,8,1,3.0,3.0,24,8,0,1,24,2,1,0,9,1.0,0.857143,0,269,269,8,1,2,6,3,3,0
0,0,1,8,0,4.555556,4.272727,41,9,0,1,47,1,0,2,11,0.0,1.0,0,337,382,11,0,0,9,0,0,0
2,2,1,0,1,1.0,1.066667,2,2,0,0,16,0,2,0,18,0.090909,0.9285709999999999,0,34,175,15,0,0,15,0,0,0
17,13,17,25,31,4.76,4.76,119,25,2,4,119,8,14,0,75,0.25,0.969551,0,1157,1157,25,4,0,21,4,32,1
0,0,0,0,0,1.0,1.0,1,1,0,0,5,0,2,0,5,0.0,1.0,0,11,35,5,0,0,5,0,0,0
33,22,52,60,48,6.360656,6.290323,388,61,1,7,390,8,29,4,136,0.333333,0.980993,0,2937,2958,62,1,0,61,1,34,1
0,0,0,0,0,0.0,1.0,0,0,0,0,10,0,1,0,10,0.11111099999999999,0.8888889999999999,0,109,109,10,0,0,11,0,0,0
10,4,8,13,13,6.928571000000001,5.2307690000000004,97,14,2,0,136,0,6,3,44,0.286765,0.941176,0,953,1184,26,0,0,26,0,1,1
0,0,0,1,0,1.0,1.0,1,1,0,0,7,0,1,0,7,0.23809499999999997,0.777778,0,14,44,7,0,0,8,0,0,0
28,9,3,41,38,4.6666669999999995,4.444444,196,42,0,0,200,0,9,14,94,0.25243899999999997,0.9350649999999999,0,1033,1065,45,0,0,45,0,3,1
9,17,3,97,70,4.316832,3.489209,436,101,2,2,485,2,17,21,213,0.30846599999999996,0.9758450000000001,0,2435,2907,139,0,0,139,0,0,1
0,0,0,0,0,1.0,1.0,1,1,0,0,18,0,0,0,18,0.058824,0.9477120000000001,0,43,179,18,0,0,18,0,0,0
0,2,0,2,4,1.2,1.4285709999999998,6,5,0,0,10,0,3,0,22,1.0,0.666667,0,68,98,7,0,0,7,0,1,0
0,0,0,2,0,1.5,1.5,3,2,0,2,3,2,0,0,2,0.0,0.0,0,44,44,2,0,0,2,0,0,0
1,1,0,3,1,1.333333,1.2,4,3,0,0,6,0,1,0,7,0.2,0.75,0,15,26,5,0,0,5,0,0,0
0,1,0,7,1,1.285714,1.285714,9,7,1,0,9,0,0,0,8,0.0,0.0,0,44,44,7,0,0,7,0,0,0
0,0,0,1,0,1.0,1.0,1,1,0,0,8,0,0,0,8,0.14285699999999998,0.857143,0,32,32,8,0,0,8,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,6,0,2,0,6,0.2,0.8,1,24,24,6,0,0,7,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,6,0,2,0,6,0.2,0.8,1,25,25,6,0,0,7,0,0,0
0,0,0,0,0,1.0,1.0,1,1,0,0,7,0,2,0,7,0.2,0.833333,1,29,29,7,0,0,7,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,6,0,2,0,6,0.2,0.8,0,24,24,6,0,0,7,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,6,0,2,0,6,0.2,0.8,0,23,23,6,0,0,6,0,0,0
0,0,0,0,0,0.0,1.0,0,0,0,0,8,0,1,0,8,0.14285699999999998,0.857143,0,31,31,8,0,0,8,0,0,0
0,0,0,1,0,1.0,1.0,1,1,0,0,1,0,0,0,1,1.0,0.0,0,3,3,1,0,1,1,1,0,0
0,2,0,1,2,1.0,1.0,1,1,0,0,1,0,3,0,3,1.0,0.0,0,3,3,1,0,1,1,1,0,0
0,0,0,0,0,1.0,1.0,1,1,0,0,1,0,0,1,1,1.0,0.0,0,230,230,1,0,0,1,0,109,0
12,0,0,0,0,1.0,1.0,1,1,0,0,1,0,1,1,1,1.0,0.0,0,110,110,1,0,0,1,0,33,0
25,15,3,4,27,5.8,5.8,29,5,0,0,29,0,22,0,51,1.0,0.0,0,214,214,5,0,0,5,0,0,0
3,10,1,0,13,1.0,3.571429,1,1,4,0,25,0,8,1,21,0.6,0.8888889999999999,0,96,272,7,0,0,7,0,0,0
