NOP_method,NOLV_method,AMW_type,LOCNAMM_type,LOC_type,CFNAMM_type,AMWNAMM_type,LCOM5_type,NOAV_method,TCC_type,LOC_package,NIM_type,NOM_package,NOMNAMM_package,RFC_type,LOC_method,WMC_type,WMCNAMM_type,NOCS_package,ATLD_method,CDISP_method,NOM_type,is_long_parameters_list
4,4,5.4375,550,590,72,6.916666667,0.7771260999999999,4.0,0.19166666699999999,2639,0.0,106,97,34,3,174,166,8,0.0,1.0,32,1
3,5,10.45833333,669,669,0,10.45833333,1.0,5.0,0.0,943,0.0,34,33,24,11,251,251,5,0.0,0.0,24,0
3,3,1.0,23,23,3,1.0,0.0,6.0,1.0,1690,0.0,42,40,2,5,1,1,32,2.0,0.0,1,0
4,4,1.0,16,16,0,1.0,0.0,8.0,1.0,1690,0.0,42,40,1,6,1,1,32,4.0,0.0,1,1
3,3,1.0,11,11,3,1.0,0.0,6.0,1.0,1690,0.0,42,40,2,5,1,1,32,2.0,0.0,1,0
4,4,1.0,16,16,0,1.0,0.0,8.0,1.0,1690,0.0,42,40,1,6,1,1,32,4.0,0.0,1,1
3,3,1.0,22,22,0,1.0,2.0,6.0,1.0,1690,0.0,42,40,2,5,2,2,32,3.0,0.0,2,0
3,3,1.0,32,32,3,1.0,0.0,6.0,1.0,1690,0.0,42,40,2,5,1,1,32,2.0,0.0,1,0
5,5,1.0,20,20,0,1.0,0.0,10.0,1.0,1690,0.0,42,40,1,7,1,1,32,5.0,0.0,1,1
3,5,6.870967742,828,828,1106,6.870967742,0.666666667,10.0,0.0,1422,0.0,54,54,44,26,213,213,3,1.0,1.0,31,0
9,9,1.0,76,76,8,1.0,2.0,18.0,1.0,1690,0.0,42,40,3,12,2,2,32,8.0,0.0,2,1
2,2,1.1,95,115,74,1.125,0.977777778,3.0,0.035714286,22173,48.0,1956,1060,81,6,11,9,74,1.0,0.0,10,0
1,1,1.176470588,127,181,270,1.2727272729999999,0.9375,9.0,0.104761905,22173,50.91351351,1956,1060,29,16,20,14,74,5.0,1.0,17,0
0,0,1.109452736,791,1849,30542,1.17721519,0.99046875,4.0,0.08776204300000001,22173,31.0,1956,1060,336,4,223,93,74,0.0,1.0,201,0
0,1,1.3,79,131,88,1.4,0.9841269840000001,1.0,0.047619048,22173,0.0,1956,1060,17,11,13,7,74,0.0,1.0,10,0
0,0,2.9375,347,401,64,3.454545455,0.8866666670000001,1.0,0.35164835200000005,17329,0.0,801,756,22,4,47,38,96,1.0,0.0,16,0
0,0,2.038461538,613,619,560,2.058823529,0.968954248,2.0,0.032156863,17329,0.0,801,756,63,5,106,105,96,2.0,0.0,52,0
1,1,1.035714286,162,188,54,1.038461538,0.962962963,2.0,0.005291005,18514,50.91351351,1653,1247,29,9,29,27,48,1.0,1.0,28,0
0,0,1.6,50,85,17,1.333333333,0.9375,1.0,0.5,18514,4.0,1653,1247,13,4,8,4,48,1.0,0.0,5,0
1,1,1.0,96,121,0,1.0,1.083333333,0.0,0.0,18514,50.91351351,1653,1247,13,1,13,9,48,0.0,0.0,13,0
0,0,1.019607843,183,277,1879,1.027777778,0.36,1.0,0.43102040799999997,18514,50.91351351,1653,1247,85,4,52,37,48,1.0,0.0,51,0
0,0,1.0,103,103,0,1.0,0.0,0.0,0.0,966,50.91351351,80,56,11,1,11,11,7,0.0,0.0,11,0
0,0,3.5,53,116,106,1.0,1.166666667,2.0,1.0,8188,0.0,296,268,17,8,14,3,46,2.0,0.0,4,0
1,2,7.485714286,2459,2656,9148,7.7,0.9616755790000001,5.0,0.258064516,21006,47.0,599,516,275,24,262,231,81,0.0,1.0,35,0
0,0,1.0,23,23,0,1.0,0.0,1.0,1.0,2316,34.0,198,157,46,5,3,3,24,1.0,0.0,3,0
0,0,1.1,269,269,963,1.1,0.568965517,1.0,0.86453202,3573,0.0,263,154,60,4,33,33,21,1.0,0.0,30,0
3,5,2.9240506330000002,1481,1527,12421,2.960526316,0.951923077,6.0,0.078947368,45362,28.0,3035,2134,185,26,231,225,184,1.0,0.666666667,79,0
3,3,1.375,57,92,106,1.0,0.857142857,5.0,0.28571428600000004,45362,0.0,3035,2134,21,11,11,7,184,2.0,1.0,8,0
3,11,2.6,107,107,62,2.6,1.0,13.0,0.0,45362,2.0,3035,2134,13,40,13,13,184,0.0,0.4,5,0
3,3,1.6875,177,214,210,1.769230769,0.0,3.0,0.0,45362,111.0,3035,2134,195,8,27,23,184,0.0,0.0,16,0
3,3,1.75,184,214,805,2.090909091,0.8666666670000001,9.0,0.384615385,45362,0.0,3035,2134,52,11,28,23,184,6.0,0.0,16,0
3,4,2.2,71,71,34,2.2,1.0,4.0,0.0,45362,2.0,3035,2134,11,20,11,11,184,0.0,0.5,5,0
3,4,2.155555556,930,930,1002,2.155555556,0.982954545,5.0,0.127906977,17329,0.0,801,756,61,6,97,97,96,0.0,0.0,45,0
3,4,3.342657343,3849,3849,129220,3.342657343,0.9859154929999999,8.0,0.003740065,17329,0.0,801,756,685,25,478,478,96,0.0,0.4,143,0
3,8,6.052631579,815,815,322,6.052631579,0.969135802,12.0,0.054945055,17329,0.0,801,756,36,33,115,115,96,4.0,0.0,19,0
3,6,1.0,12,12,4,1.0,0.0,10.0,1.0,12585,11.0,409,386,3,7,1,1,134,0.0,1.0,1,0
3,5,1.9230769230000002,216,216,170,1.9230769230000002,0.9375,5.0,0.060606060999999996,12585,8.0,409,386,80,16,25,25,134,0.0,1.0,13,0
4,4,1.0,82,124,112,1.0,0.982905983,8.0,0.036363636,18923,0.0,1266,686,27,6,14,7,70,0.0,0.4,14,0
3,4,1.0,545,545,1728,1.0,0.0,4.0,0.0,18514,0.0,1653,1247,41,11,25,25,48,0.0,1.0,25,0
3,7,3.5,277,295,560,4.333333333,1.0,12.0,0.0,3603,80.0,140,130,264,36,28,26,21,2.0,0.666666667,8,0
3,9,5.106382979,1812,1913,4405,5.820512821,0.959782609,19.0,0.154654655,21006,79.0,599,516,279,39,240,227,81,7.0,0.75,47,0
5,5,1.15,60,169,16,1.25,0.9649122809999999,10.0,0.09356725099999999,21006,50.91351351,599,516,23,14,23,5,81,5.0,0.0,20,1
4,8,5.148148148,683,925,3010,4.789473684,0.913461538,13.0,0.27450980399999997,21006,0.0,599,516,93,29,139,91,81,3.0,0.636363636,27,0
3,3,1.0,17,17,8,1.0,0.0,2.0,0.0,21006,0.0,599,516,4,4,3,3,81,0.0,1.0,3,0
5,12,8.111111111,472,472,559,8.111111111,1.0,14.0,0.0,2553,4.0,103,97,63,99,73,73,19,0.0,0.5,9,1
3,4,2.3608247419999997,1230,1622,8741,3.192982456,0.9697916670000001,4.0,0.104240766,2918,61.0,201,88,247,17,229,182,12,0.0,1.0,97,0
4,4,2.444444444,273,273,1324,2.444444444,1.0,30.0,1.0,3573,0.0,263,154,92,55,22,22,21,1.0,0.176470588,9,0
11,12,3.342657343,3849,3849,129220,3.342657343,0.9859154929999999,11.0,0.003740065,17329,0.0,801,756,685,46,478,478,96,0.0,1.0,143,1
16,16,4.2,174,174,322,4.2,0.0,24.0,0.0,17329,0.0,801,756,42,37,21,21,96,0.0,0.25,5,1
8,8,1.2,142,155,66,1.25,0.7666666670000001,8.0,0.7333333329999999,21006,0.0,599,516,13,22,12,10,81,0.0,1.0,10,1
7,7,1.2,142,155,66,1.25,0.7666666670000001,7.0,0.7333333329999999,21006,0.0,599,516,13,21,12,10,81,0.0,0.0,10,1
7,15,5.842105263,1564,1735,2873,6.466666667,0.9361179359999999,44.0,0.238636364,21006,79.0,599,516,276,173,222,194,81,9.0,1.0,38,1
7,8,5.842105263,1564,1735,2873,6.466666667,0.9361179359999999,8.0,0.238636364,21006,79.0,599,516,276,13,222,194,81,0.0,1.0,38,1
7,7,1.181818182,149,162,68,1.222222222,0.79,7.0,0.6190476189999999,21006,0.0,599,516,14,21,13,11,81,0.0,0.0,11,1
7,7,5.3142857139999995,1524,1533,4783,5.441176471,0.9485294120000001,7.0,0.358333333,21006,47.0,599,516,214,22,186,185,81,0.0,1.0,35,1
7,7,5.148148148,683,925,3010,4.789473684,0.913461538,16.0,0.27450980399999997,21006,0.0,599,516,93,29,139,91,81,9.0,1.0,27,1
7,7,5.148148148,683,925,3010,4.789473684,0.913461538,15.0,0.27450980399999997,21006,0.0,599,516,93,29,139,91,81,8.0,1.0,27,1
16,16,4.166666667,336,336,38,4.166666667,0.7894736840000001,37.0,0.0,21006,0.0,599,516,10,66,25,25,81,16.0,1.0,6,1
7,13,3.0,435,435,370,3.0,0.0,14.0,0.0,1824,50.91351351,44,37,21,85,24,24,9,0.0,0.5,8,1
7,13,3.0,435,435,370,3.0,0.0,14.0,0.0,1824,50.91351351,44,37,21,85,24,24,9,0.0,0.5,8,1
7,14,3.0,435,435,370,3.0,0.0,15.0,0.0,1824,50.91351351,44,37,21,86,24,24,9,0.0,0.444444444,8,1
2,8,2.2,125,125,33,2.2,1.0,9.0,0.0,809,4.0,37,35,16,32,11,11,11,1.0,1.0,5,0
0,0,1.0,85,85,150,1.0,0.0,0.0,0.0,809,14.0,37,35,37,5,11,11,11,0.0,1.0,11,0
2,2,1.0,17,17,0,1.0,0.0,2.0,1.0,889,15.0,86,57,4,3,4,4,7,0.0,0.0,4,0
0,0,1.333333333,297,306,856,1.346153846,1.038461538,2.0,0.0,889,0.0,86,57,44,6,36,35,7,0.0,1.0,27,0
1,1,1.333333333,297,306,856,1.346153846,1.038461538,2.0,0.0,889,0.0,86,57,44,3,36,35,7,0.0,0.0,27,0
2,2,1.333333333,297,306,856,1.346153846,1.038461538,3.0,0.0,889,0.0,86,57,44,3,36,35,7,0.0,0.0,27,0
0,0,1.0,16,52,0,1.0,0.8,1.0,0.333333333,889,0.0,86,57,6,3,6,2,7,1.0,0.0,6,0
1,1,1.0,58,112,0,1.0,0.848484848,4.0,0.194444444,889,0.0,86,57,12,5,12,6,7,3.0,0.0,12,0
0,0,1.0,58,112,0,1.0,0.848484848,0.0,0.194444444,889,0.0,86,57,12,3,12,6,7,0.0,0.0,12,0
1,1,1.0,58,112,0,1.0,0.848484848,2.0,0.194444444,889,0.0,86,57,12,3,12,6,7,1.0,0.0,12,0
1,1,2.0,113,151,0,3.0,0.9285714290000001,2.0,0.6,1447,0.0,77,60,8,4,16,12,10,1.0,0.0,8,0
0,0,1.473684211,84,198,257,2.285714286,0.87037037,1.0,0.16911764699999998,306,30.0,34,18,57,3,28,16,4,1.0,0.0,19,0
0,0,1.473684211,84,198,257,2.285714286,0.87037037,1.0,0.16911764699999998,306,30.0,34,18,57,3,28,16,4,1.0,0.0,19,0
0,0,1.434782609,295,307,0,1.454545455,0.875,1.0,0.12857142900000001,1229,0.0,42,34,23,4,33,32,4,1.0,0.0,23,0
1,1,1.9166666669999999,157,309,88,3.75,0.926086957,2.0,0.11904761900000001,790,0.0,64,33,26,4,46,30,6,1.0,0.0,24,0
4,4,2.2,125,125,33,2.2,1.0,2.0,0.0,809,4.0,37,35,16,6,11,11,11,0.0,0.0,5,1
4,4,4.0,48,48,0,4.0,1.0,2.0,0.0,809,4.0,37,35,10,7,8,8,11,0.0,0.0,2,1
4,4,6.0,64,64,0,6.0,1.0,2.0,0.0,809,4.0,37,35,10,7,12,12,11,0.0,0.0,2,1
4,4,2.0,33,33,5,2.0,1.0,2.0,0.0,809,4.0,37,35,10,7,4,4,11,0.0,0.0,2,1
4,4,2.0,35,35,5,2.0,1.0,2.0,0.0,809,4.0,37,35,10,7,4,4,11,0.0,0.0,2,1
4,4,2.0,34,34,5,2.0,1.0,2.0,0.0,809,4.0,37,35,10,7,4,4,11,0.0,0.0,2,1
4,5,3.5,321,321,262,3.5,1.0909090909999999,5.0,0.0,613,50.91351351,30,29,19,48,42,42,4,0.0,0.4,12,0
3,4,3.5,321,321,262,3.5,1.0909090909999999,11.0,0.0,613,50.91351351,30,29,19,83,42,42,4,0.0,0.4,12,0
3,3,1.0,79,115,101,1.0,0.583333333,4.0,0.7142857140000001,889,10.0,86,57,31,4,13,9,7,1.0,0.0,13,0
4,4,1.0,79,115,101,1.0,0.583333333,5.0,0.7142857140000001,889,10.0,86,57,31,4,13,9,7,1.0,1.0,13,0
3,3,1.0,58,112,0,1.0,0.848484848,6.0,0.194444444,889,0.0,86,57,12,5,12,6,7,3.0,0.0,12,0
5,5,2.1176470590000003,193,203,306,2.266666667,1.0625,9.0,0.0,1447,0.0,77,60,31,17,36,34,10,0.0,1.0,17,1
5,7,2.1176470590000003,193,203,306,2.266666667,1.0625,15.0,0.0,1447,0.0,77,60,31,20,36,34,10,0.0,0.5,17,1
5,5,2.5,538,538,104,2.5,1.0,5.0,0.0,1447,0.0,77,60,31,6,45,45,10,0.0,0.0,18,1
5,6,2.5,538,538,104,2.5,1.0,8.0,0.0,1447,0.0,77,60,31,9,45,45,10,0.0,0.5,18,1
6,7,2.5,538,538,104,2.5,1.0,9.0,0.0,1447,0.0,77,60,31,9,45,45,10,0.0,0.5,18,1
4,4,2.5,538,538,104,2.5,1.0,4.0,0.0,1447,0.0,77,60,31,7,45,45,10,0.0,0.0,18,0
5,5,2.5,538,538,104,2.5,1.0,5.0,0.0,1447,0.0,77,60,31,7,45,45,10,0.0,0.0,18,1
3,3,1.0,506,533,0,1.0,1.0,6.0,0.0,1229,10.0,42,34,4,7,4,1,4,3.0,0.0,4,0
3,3,1.0,336,372,0,1.0,1.0,6.0,0.0,1229,10.0,42,34,13,6,13,9,4,3.0,0.0,13,0
3,3,1.0,336,372,0,1.0,1.0,6.0,0.0,1229,10.0,42,34,13,6,13,9,4,3.0,0.0,13,0
7,18,2.5,538,538,104,2.5,1.0,32.0,0.0,1447,0.0,77,60,31,176,45,45,10,1.0,0.428571429,18,1
8,8,1.9166666669999999,157,309,88,3.75,0.926086957,16.0,0.11904761900000001,790,0.0,64,33,26,13,46,30,6,8.0,0.0,24,1
2,2,1.0,87,87,0,1.0,0.0,0.0,0.0,9554,50.91351351,584,564,8,1,8,8,39,0.0,0.0,8,0
1,1,1.7,161,187,100,1.75,0.5555555560000001,2.0,0.35714285700000004,9554,16.0,584,564,16,5,17,14,39,1.0,1.0,10,0
0,0,2.027777778,542,580,1609,2.121212121,0.76,1.0,0.35416666700000005,9554,18.0,584,564,93,3,73,70,39,1.0,1.0,36,0
0,0,1.870967742,409,583,144,2.0526315790000003,0.9259259259999999,1.0,0.177248677,4573,6.0,226,179,49,3,58,39,15,1.0,0.0,31,0
0,0,1.739130435,349,452,363,2.0,0.902597403,1.0,0.310526316,4573,32.0,226,179,70,3,40,30,15,1.0,0.0,23,0
1,1,2.555555556,170,170,0,2.555555556,0.78125,3.0,0.5,4257,0.0,218,194,9,5,23,23,16,2.0,0.0,9,0
1,1,2.548387097,1286,1768,2648,2.8360655739999996,0.93580163,2.0,0.09163545599999999,12125,0.0,523,415,217,6,237,173,22,1.0,0.0,93,0
1,3,2.548387097,1286,1768,2648,2.8360655739999996,0.93580163,3.0,0.09163545599999999,12125,0.0,523,415,217,7,237,173,22,0.0,1.0,93,0
2,2,1.0,868,1726,0,1.0,0.0,0.0,0.0,14624,50.91351351,551,387,132,2,132,68,28,0.0,0.0,132,0
2,2,1.0,859,1644,0,1.0,0.0,0.0,0.0,18042,50.91351351,690,502,134,1,134,71,42,0.0,0.0,134,0
2,2,3.303571429,1460,1678,5860,3.904761905,0.932467532,4.0,0.07267645,18042,50.91351351,690,502,141,17,185,164,42,2.0,0.0,56,0
1,1,2.833333333,414,587,1184,2.875,0.8309178740000001,2.0,0.298245614,33993,60.0,1556,1076,134,7,68,46,46,1.0,0.0,24,0
0,0,1.0,62,62,0,1.0,0.0,0.0,0.0,2198,50.91351351,142,121,8,1,8,8,14,0.0,0.0,8,0
0,0,1.636363636,257,370,471,1.6666666669999999,0.80952381,1.0,0.346405229,5139,6.0,273,201,36,3,36,25,14,1.0,0.0,22,0
2,9,2.8636363639999995,432,467,336,2.761904762,0.666666667,18.0,0.514285714,3899,0.0,208,197,31,55,63,58,16,3.0,0.4,22,0
3,3,1.0,106,106,81,1.0,0.0,3.0,0.0,9554,33.0,584,564,58,4,8,8,39,0.0,0.0,8,0
3,3,2.0,89,89,82,2.0,1.333333333,3.0,0.0,4046,11.0,208,207,29,7,8,8,26,0.0,0.0,4,0
3,5,2.1,212,212,126,2.1,0.8888888890000001,5.0,0.428571429,4046,8.0,208,207,29,12,21,21,26,0.0,0.0,10,0
3,3,3.285714286,390,390,382,3.285714286,0.9538461540000001,3.0,0.045454545,4257,0.0,218,194,27,6,46,46,16,0.0,0.0,14,0
5,5,1.9090909090000001,180,180,0,1.9090909090000001,0.9,5.0,0.833333333,4257,0.0,218,194,11,4,21,21,16,0.0,0.0,11,1
4,4,1.6666666669999999,656,656,588,1.6666666669999999,0.0,4.0,0.0,12125,50.91351351,523,415,42,7,45,45,22,0.0,0.0,27,0
3,3,1.6666666669999999,656,656,588,1.6666666669999999,0.0,4.0,0.0,12125,50.91351351,523,415,42,6,45,45,22,0.0,1.0,27,0
4,4,1.0,868,1726,0,1.0,0.0,0.0,0.0,14624,50.91351351,551,387,132,2,132,68,28,0.0,0.0,132,0
4,8,3.052631579,1404,1660,6529,3.595238095,0.947544643,12.0,0.05389610400000001,14624,50.91351351,551,387,152,32,174,151,28,0.0,0.333333333,57,0
4,13,2.875,527,573,632,3.230769231,0.904761905,15.0,0.346153846,14624,272.0,551,387,377,32,46,42,28,0.0,0.333333333,16,0
3,6,3.625,551,579,547,4.0,0.8444444440000001,6.0,0.109090909,18042,245.0,690,502,360,11,58,56,42,0.0,1.0,16,0
5,6,3.388888889,454,530,320,4.307692308,0.9647058820000001,8.0,0.14285714300000002,18042,238.0,690,502,348,15,61,56,42,0.0,1.0,18,1
3,4,2.0732984290000003,2220,3951,3812,2.730337079,0.9845112779999999,5.0,0.019057913,5920,50.91351351,290,174,208,11,396,243,13,1.0,1.0,191,0
3,3,2.095238095,867,888,1353,2.15,0.9467849220000001,6.0,0.165165165,9366,19.0,498,480,78,21,88,86,26,3.0,0.5,42,0
4,8,2.744680851,928,1132,3933,3.176470588,0.904347826,3.0,0.17692307699999998,19667,120.0,781,640,223,22,129,108,48,0.0,0.0,47,0
