NMCS_method,CYCLO_method,MAXNESTING_method,LOC_method,MaMCL_method,MeMCL_method,NOAV_method,NOLV_method,CDISP_method,AMWNAMM_type,LOCNAMM_type,AMW_type,CFNAMM_type,LOC_type,CFNAMM_method,LAA_method,CINT_method,ATFD_method,FANOUT_method,LCOM5_type,TCC_type,FDP_method,RFC_type,WMC_type,WMCNAMM_type,is_switch_statements
0,4,3,18,0,0,6.0,2,0.5,1.8,227,1.6666666669999999,358,239,8,1.0,4,0.0,2,0.931818182,0.41666666700000005,0.0,37,20,18,0
0,2,5,23,0,0,3.0,3,1.0,4.0,51,4.0,30,51,2,1.0,1,0.0,1,0.0,1.0,0.0,12,8,8,0
0,4,4,14,0,0,6.0,2,0.75,1.636363636,77,1.642857143,140,95,8,1.0,4,0.0,3,0.846153846,0.0,0.0,41,23,18,0
1,4,4,41,2,2,22.0,8,0.5,2.0,179,1.9375,640,197,10,0.5,12,3.0,6,0.855555556,0.305555556,2.0,41,31,28,1
0,7,4,47,0,0,25.0,8,0.571428571,4.8571428569999995,314,6.0,897,530,8,0.666666667,7,2.0,4,0.942815249,0.169590643,2.0,108,138,68,0
0,5,4,25,0,0,7.0,6,1.0,2.035294118,1081,1.929292929,13341,1186,2,1.0,1,0.0,1,0.976530612,0.013955617,0.0,216,191,173,0
0,8,5,32,0,0,8.0,4,0.5,1.571428571,114,1.947368421,184,208,8,1.0,4,1.0,2,0.976851852,0.1,1.0,25,37,22,0
0,5,4,43,0,0,13.0,10,1.0,2.692307692,1063,2.395833333,1992,1116,4,0.333333333,2,2.0,2,0.994877857,0.054054054000000004,1.0,104,115,105,0
0,12,4,57,0,0,14.0,8,0.625,2.692307692,1063,2.395833333,1992,1116,14,0.166666667,8,6.0,5,0.994877857,0.054054054000000004,3.0,104,115,105,0
0,5,4,24,0,0,8.0,7,0.5,2.61971831,1327,2.61971831,1192,1327,4,0.0,2,1.0,1,1.0,0.000426257,1.0,96,186,186,0
0,4,4,14,0,0,8.0,4,0.0,4.0,615,4.0,292,615,0,0.0,0,0.0,0,1.0,0.003952569,0.0,30,100,100,0
0,9,4,53,0,0,17.0,15,0.5,2.666666667,158,2.666666667,346,158,20,1.0,10,0.0,5,0.6875,0.666666667,0.0,36,24,24,0
0,5,5,28,0,0,9.0,6,0.5,2.0,131,2.0,320,131,16,0.5,8,2.0,4,0.7142857140000001,0.14285714300000002,2.0,30,16,16,0
0,10,4,49,0,0,19.0,11,0.454545455,2.625,132,2.625,386,132,20,0.14285714300000002,11,6.0,5,0.7857142859999999,0.47619047600000003,2.0,45,21,21,1
0,8,5,44,0,0,18.0,10,0.75,3.882352941,647,3.722222222,1100,660,12,0.8,8,2.0,6,0.889705882,0.7142857140000001,2.0,67,67,66,0
0,6,4,40,0,0,13.0,6,0.545454545,2.0,117,1.9090909090000001,248,134,12,0.428571429,11,4.0,6,0.9,0.28571428600000004,3.0,38,21,18,0
0,4,4,14,0,0,6.0,3,1.0,1.8,74,1.6666666669999999,80,86,2,0.5,1,1.0,1,0.818181818,0.527272727,1.0,22,20,18,0
0,11,4,26,0,0,7.0,7,0.0,2.85915493,995,2.826530612,9678,1350,0,0.0,0,0.0,0,0.980277902,0.071103983,0.0,185,277,203,0
1,19,4,77,2,2,17.0,9,0.583333333,2.85915493,995,2.826530612,9678,1350,14,0.428571429,12,4.0,7,0.980277902,0.071103983,2.0,185,277,203,1
0,10,5,52,0,0,20.0,2,0.75,10.0,57,10.0,8,57,4,0.0,4,15.0,3,0.0,1.0,3.0,5,10,10,1
0,11,6,47,0,0,19.0,8,0.444444444,2.489361702,1669,2.219512195,51801,1957,17,0.0,9,3.0,4,0.9921068609999999,0.012612613,2.0,571,273,234,0
0,20,6,161,0,0,27.0,18,0.363636364,3.666666667,236,3.666666667,302,236,34,0.166666667,22,6.0,8,0.875,0.0,5.0,35,33,33,1
0,28,6,88,0,0,41.0,10,0.5,3.333333333,145,1.6666666669999999,1016,381,12,0.0,6,1.0,3,0.939837398,0.08502024300000001,1.0,62,70,40,1
0,5,6,183,0,0,30.0,13,0.692307692,2.692307692,1063,2.395833333,1992,1116,20,0.692307692,13,5.0,9,0.994877857,0.054054054000000004,2.0,104,115,105,1
0,12,6,73,0,0,10.0,10,0.0,2.61971831,1327,2.61971831,1192,1327,0,0.0,0,0.0,0,1.0,0.000426257,0.0,96,186,186,0
0,12,7,49,0,0,7.0,8,0.0,4.0,615,4.0,292,615,0,0.0,0,0.0,0,1.0,0.003952569,0.0,30,100,100,1
0,11,7,63,0,0,7.0,8,0.0,4.0,615,4.0,292,615,0,0.0,0,0.0,0,1.0,0.003952569,0.0,30,100,100,1
0,29,6,163,0,0,25.0,12,0.0,2.9156626510000003,2637,2.8,54,2829,0,1.0,0,0.0,0,0.971910112,0.042455535999999995,0.0,91,252,242,1
0,12,7,53,0,0,15.0,12,0.571428571,4.0,91,4.0,94,91,12,1.0,7,1.0,4,0.333333333,1.0,1.0,19,16,16,1
0,22,6,107,0,0,32.0,26,0.6,3.882352941,647,3.722222222,1100,660,12,0.666666667,10,1.0,6,0.889705882,0.7142857140000001,1.0,67,67,66,1
0,11,6,73,0,0,24.0,20,0.538461538,6.0,81,6.0,54,81,18,0.0,13,2.0,7,0.0,0.0,2.0,15,12,12,0
0,8,6,53,0,0,14.0,12,0.0,4.8,170,4.8,58,170,0,1.0,0,0.0,0,0.8125,0.666666667,0.0,10,24,24,1
0,15,6,50,0,0,13.0,10,0.666666667,2.85915493,995,2.826530612,9678,1350,6,1.0,3,0.0,2,0.980277902,0.071103983,0.0,185,277,203,1
0,6,6,31,0,0,14.0,10,0.5,2.3125,274,2.529411765,650,323,6,0.666666667,4,2.0,2,0.9464285709999999,0.022222222000000003,2.0,53,43,37,0
0,8,6,56,0,0,22.0,11,0.666666667,2.3125,274,2.529411765,650,323,18,0.7777777779999999,9,4.0,6,0.9464285709999999,0.022222222000000003,3.0,53,43,37,0
0,1,1,3,0,0,0.0,1,0.0,11.31034483,1371,11.31034483,4344,1371,0,0.0,0,0.0,0,0.7232142859999999,0.0,0.0,87,328,328,0
0,3,2,6,0,0,1.0,1,0.0,11.31034483,1371,11.31034483,4344,1371,0,0.0,0,0.0,0,0.7232142859999999,0.0,0.0,87,328,328,0
0,3,2,6,0,0,1.0,1,0.0,11.31034483,1371,11.31034483,4344,1371,0,0.0,0,0.0,0,0.7232142859999999,0.0,0.0,87,328,328,0
0,1,1,4,0,0,1.0,2,0.0,11.31034483,1371,11.31034483,4344,1371,0,0.0,0,0.0,0,0.7232142859999999,0.0,0.0,87,328,328,0
0,1,1,4,0,0,1.0,0,1.0,2.541666667,304,2.48,670,312,2,1.0,1,0.0,1,0.7013888890000001,0.833333333,0.0,41,62,61,0
0,2,2,16,0,0,6.0,3,1.0,2.541666667,304,2.48,670,312,4,1.0,2,0.0,2,0.7013888890000001,0.833333333,0.0,41,62,61,0
0,2,2,7,0,0,3.0,1,0.0,2.541666667,304,2.48,670,312,0,1.0,0,0.0,0,0.7013888890000001,0.833333333,0.0,41,62,61,0
0,4,2,9,0,0,2.0,1,0.0,6.916666667,550,5.4375,72,590,0,1.0,0,0.0,0,0.7771260999999999,0.19166666699999999,0.0,34,174,166,0
0,1,1,3,0,0,4.0,4,1.0,6.916666667,550,5.4375,72,590,2,0.0,1,0.0,1,0.7771260999999999,0.19166666699999999,0.0,34,174,166,0
0,3,2,11,0,0,5.0,5,0.0,10.45833333,669,10.45833333,0,669,0,0.0,0,0.0,0,1.0,0.0,0.0,24,251,251,0
0,1,1,12,0,0,18.0,9,0.0,1.0,76,1.0,8,76,1,0.8888888890000001,0,1.0,0,2.0,1.0,1.0,3,2,2,0
0,1,1,5,0,0,6.0,3,0.0,1.0,22,1.0,0,22,0,1.0,0,0.0,0,2.0,1.0,0.0,2,2,2,0
0,1,1,7,0,0,10.0,5,0.0,1.0,20,1.0,0,20,0,1.0,0,0.0,0,0.0,1.0,0.0,1,1,1,0
0,1,1,3,0,0,1.0,1,0.0,6.870967742,828,6.870967742,1106,828,0,0.0,0,1.0,0,0.666666667,0.0,1.0,44,213,213,0
0,3,2,12,0,0,11.0,3,0.0,6.870967742,828,6.870967742,1106,828,0,0.125,0,7.0,0,0.666666667,0.0,4.0,44,213,213,0
0,1,1,9,0,0,8.0,5,1.0,6.870967742,828,6.870967742,1106,828,4,0.333333333,2,2.0,2,0.666666667,0.0,1.0,44,213,213,0
0,3,3,10,0,0,4.0,1,0.0,4.333333333,569,4.333333333,764,569,0,1.0,0,0.0,0,0.9117647059999999,1.0,0.0,53,91,91,0
0,1,1,3,0,0,1.0,1,1.0,4.333333333,569,4.333333333,764,569,2,0.0,1,0.0,1,0.9117647059999999,1.0,0.0,53,91,91,0
0,1,1,4,0,0,1.0,1,1.0,4.333333333,569,4.333333333,764,569,2,0.0,1,0.0,1,0.9117647059999999,1.0,0.0,53,91,91,0
0,10,5,40,0,0,16.0,2,0.5,11.31034483,1371,11.31034483,4344,1371,14,0.583333333,8,5.0,4,0.7232142859999999,0.0,1.0,87,328,328,0
0,20,5,96,0,0,56.0,12,0.0,4.7,243,4.7,16,243,0,0.022727273,0,43.0,0,0.481481481,1.0,12.0,12,47,47,1
0,33,5,104,0,0,26.0,11,1.0,9.0,174,9.0,10,174,2,0.066666667,1,14.0,1,0.75,0.1,1.0,6,45,45,1
0,139,6,523,0,0,105.0,25,0.36842105299999994,11.31034483,1371,11.31034483,4344,1371,38,0.3,19,56.0,7,0.7232142859999999,0.0,2.0,87,328,328,1
0,75,6,257,0,0,101.0,16,0.6,6.870967742,828,6.870967742,1106,828,10,0.023529412000000003,5,83.0,3,0.666666667,0.0,8.0,44,213,213,1
0,43,10,103,0,0,65.0,17,1.0,6.870967742,828,6.870967742,1106,828,2,0.020833333,1,47.0,1,0.666666667,0.0,11.0,44,213,213,1
0,21,6,125,0,0,26.0,20,1.0,4.333333333,569,4.333333333,764,569,4,0.0,2,6.0,2,0.9117647059999999,1.0,3.0,53,91,91,1
0,1,1,4,0,0,2.0,0,1.0,1.141025641,792,1.080745342,19816,1585,2,0.0,1,0.0,1,0.986569149,0.13481953300000002,0.0,296,174,89,0
0,1,1,4,0,0,1.0,0,0.0,1.0,120,1.0,263,146,1,1.0,0,0.0,0,0.65625,0.46666666700000003,0.0,29,17,14,0
0,1,1,4,0,0,1.0,0,1.0,1.191011236,749,1.1578947370000001,26311,1536,2,0.0,1,0.0,1,0.993014706,0.00178215,0.0,285,198,106,0
0,2,2,16,0,0,4.0,4,0.6,1.2,55,1.2,58,55,10,0.0,5,1.0,3,1.0,0.0,1.0,13,6,6,0
0,1,1,4,0,0,1.0,0,0.0,1.606060606,427,1.2957746479999999,7564,766,0,1.0,0,0.0,0,0.9928571429999999,0.072727273,0.0,145,92,53,0
0,1,1,4,0,0,1.0,0,0.0,1.337078652,920,1.173913043,40917,1790,0,1.0,0,0.0,0,0.9938691190000001,0.101365611,0.0,299,216,119,0
0,1,1,4,0,0,3.0,1,1.0,1.17721519,791,1.109452736,30542,1849,0,1.0,1,0.0,1,0.99046875,0.08776204300000001,0.0,336,223,93,0
0,1,1,4,0,0,1.0,0,1.0,1.027027027,394,1.016129032,5347,619,4,1.0,2,0.0,2,0.945033751,1.0,0.0,100,63,38,0
0,1,1,5,0,0,5.0,3,1.0,1.0,29,1.0,12,29,2,1.0,1,0.0,1,1.333333333,0.0,0.0,5,3,3,0
0,1,1,3,0,0,0.0,0,0.0,2.0,30,2.0,24,30,0,0.0,0,0.0,0,0.0,1.0,0.0,6,4,4,0
0,1,1,6,0,0,5.0,2,0.0,1.454545455,709,1.317567568,16808,1702,0,1.0,0,0.0,0,0.989135953,0.162305149,0.0,312,195,80,0
0,5,3,38,0,0,9.0,4,1.0,2.363636364,486,2.923076923,199,560,3,1.0,1,0.0,1,1.052083333,0.018181818,0.0,72,38,26,0
0,1,0,1,0,0,0.0,0,0.0,1.0,62,1.0,0,62,0,0.0,0,0.0,0,0.0,0.0,0.0,9,9,9,0
0,1,1,4,0,0,1.0,0,0.0,1.1,178,1.0606060609999999,1443,295,1,1.0,0,0.0,0,1.0,0.0,0.0,99,35,22,0
0,5,3,38,0,0,11.0,11,0.0,7.909090909,610,7.909090909,418,610,0,0.0,0,0.0,0,0.9,0.177777778,0.0,129,87,87,0
0,1,1,4,0,0,1.0,0,0.0,1.0,30,1.0,23,36,0,1.0,0,0.0,0,1.0,0.0,0.0,28,3,2,0
0,2,2,7,0,0,1.0,0,1.0,4.666666667,234,3.176470588,154,335,2,1.0,1,0.0,1,0.8828125,0.24242424199999998,0.0,23,54,42,0
0,1,1,4,0,0,1.0,0,0.0,3.192982456,1230,2.3608247419999997,8741,1622,0,1.0,0,0.0,0,0.9697916670000001,0.104240766,0.0,247,229,182,0
0,3,2,20,0,0,5.0,3,0.75,1.75,340,1.75,288,340,6,0.5,4,1.0,3,0.333333333,1.0,1.0,35,7,7,0
0,8,5,81,0,0,14.0,1,0.41666666700000005,7.15,2131,6.906976744,11908,2199,27,0.7692307690000001,12,3.0,5,0.738095238,0.0,3.0,292,297,286,1
0,35,5,320,0,0,17.0,1,0.41666666700000005,7.15,2131,6.906976744,11908,2199,26,0.7333333329999999,12,4.0,5,0.738095238,0.0,4.0,292,297,286,1
0,9,5,38,0,0,8.0,4,0.5,2.363636364,875,2.369230769,7531,1179,4,0.75,2,1.0,1,0.966145833,0.069381599,1.0,159,154,104,0
0,8,5,31,0,0,12.0,3,1.0,5.461538462,1152,5.204545455,2852,1239,0,0.0,3,8.0,3,0.887596899,0.193675889,4.0,97,229,213,0
0,15,5,78,0,0,12.0,8,0.666666667,6.025641026000001,2003,6.05,20666,2043,6,1.0,3,0.0,2,0.98005698,0.036036036,0.0,225,242,235,1
0,8,5,31,0,0,13.0,10,0.5,2.8055555560000003,1748,2.515151515,13122,2099,4,0.333333333,4,2.0,2,0.989431487,0.10280112,1.0,274,249,202,0
0,7,5,33,0,0,7.0,7,0.0,7.875,369,7.875,0,369,0,0.0,0,0.0,0,1.0,0.0,0.0,8,63,63,0
0,6,5,22,0,0,7.0,6,0.6,3.342657343,3849,3.342657343,129220,3849,8,0.0,5,0.0,3,0.9859154929999999,0.003740065,0.0,685,478,478,0
0,9,5,32,0,0,6.0,4,0.8,7.032967032999999,3271,6.9673913039999995,23616,3277,8,0.5,5,1.0,4,0.981946625,0.029761905,1.0,313,641,640,0
0,8,5,25,0,0,6.0,6,0.0,5.857142857,434,5.857142857,0,434,0,1.0,0,0.0,0,0.975,0.00952381,0.0,21,123,123,0
0,23,5,119,0,0,15.0,12,1.0,6.0,228,6.0,171,228,7,0.666666667,4,1.0,4,1.0,0.0,1.0,25,36,36,1
0,7,5,80,0,0,21.0,9,0.7142857140000001,3.48,1212,2.9375,5099,1267,42,0.727272727,21,3.0,15,0.95818399,0.129032258,2.0,318,94,87,0
0,21,5,67,0,0,11.0,9,0.5,5.820512821,1812,5.106382979,4405,1913,2,0.0,2,2.0,1,0.959782609,0.154654655,1.0,279,240,227,1
0,6,5,22,0,0,10.0,5,0.428571429,3.965517241,1050,3.774193548,8825,1068,12,0.25,7,3.0,3,0.951515152,0.391625616,1.0,301,117,115,0
0,13,5,30,0,0,4.0,3,1.0,5.441176471,1524,5.3142857139999995,4783,1533,2,1.0,1,0.0,1,0.9485294120000001,0.358333333,0.0,214,186,185,1
0,5,5,24,0,0,10.0,7,0.666666667,4.789473684,683,5.148148148,3010,925,4,0.666666667,3,1.0,2,0.913461538,0.27450980399999997,1.0,93,139,91,0
0,13,5,68,0,0,27.0,13,0.571428571,4.789473684,683,5.148148148,3010,925,18,0.333333333,14,8.0,8,0.913461538,0.27450980399999997,3.0,93,139,91,0
0,6,5,43,0,0,11.0,9,0.833333333,3.333333333,66,3.333333333,38,66,10,0.5,6,1.0,5,0.5,1.0,1.0,10,10,10,0
0,11,5,51,0,0,16.0,7,0.428571429,3.192982456,1230,2.3608247419999997,8741,1622,4,0.428571429,7,4.0,3,0.9697916670000001,0.104240766,3.0,247,229,182,1
0,14,7,42,0,0,17.0,13,0.6,5.461538462,1152,5.204545455,2852,1239,2,0.0,5,4.0,3,0.887596899,0.193675889,3.0,97,229,213,0
0,21,9,116,0,0,21.0,6,0.5,7.15,2205,6.906976744,11359,2272,9,0.26666666699999997,4,11.0,2,0.933333333,0.0,3.0,289,297,286,1
0,11,6,97,0,0,37.0,14,1.0,5.1111111110000005,577,4.307692308,566,637,2,0.666666667,1,0.0,1,0.9027777779999999,0.363636364,0.0,36,56,46,1
0,12,6,59,0,0,10.0,5,0.6,2.583333333,215,3.307692308,263,279,6,0.6,5,0.0,3,0.944444444,0.04444444400000001,0.0,26,43,31,1
0,14,6,87,0,0,15.0,12,0.23076923100000002,3.342657343,3849,3.342657343,129220,3849,24,0.0,13,3.0,3,0.9859154929999999,0.003740065,3.0,685,478,478,0
0,46,6,282,0,0,44.0,16,0.428571429,6.052631579,815,6.052631579,322,815,12,0.851851852,7,4.0,3,0.969135802,0.054945055,2.0,36,115,115,1
0,1,6,199,0,0,1.0,2,1.0,2.363636364,486,2.923076923,199,560,2,0.0,1,0.0,1,1.052083333,0.018181818,0.0,72,38,26,0
0,23,6,85,0,0,17.0,12,0.5,5.820512821,1812,5.106382979,4405,1913,18,0.75,10,1.0,5,0.959782609,0.154654655,1.0,279,240,227,1
0,12,7,77,0,0,15.0,9,1.0,3.965517241,1050,3.774193548,8825,1068,2,1.0,1,0.0,1,0.951515152,0.391625616,0.0,301,117,115,0
0,45,6,360,0,0,47.0,28,0.516129032,6.461538462,1979,6.095238095,7535,2014,60,0.352941176,31,11.0,16,0.972482802,0.186344239,5.0,235,256,252,1
0,10,6,167,0,0,57.0,5,0.75,7.7,2459,7.485714286,9148,2656,16,0.39215686299999997,4,30.0,3,0.9616755790000001,0.258064516,2.0,275,262,231,1
0,13,6,87,0,0,19.0,2,1.0,6.95,2177,6.534883721,7741,2197,2,0.933333333,2,1.0,2,0.96577381,0.23076923100000002,1.0,260,281,278,1
0,12,6,59,0,0,16.0,7,0.625,6.95,2177,6.534883721,7741,2197,10,0.111111111,8,8.0,5,0.96577381,0.23076923100000002,3.0,260,281,278,1
0,9,6,79,0,0,14.0,4,0.5,3.793103448,826,3.5,2298,857,10,0.5,2,5.0,1,0.985454545,0.017045455,1.0,78,119,110,1
0,16,7,140,0,0,30.0,6,0.75,7.5,364,7.5,177,364,11,0.41666666700000005,4,14.0,3,0.7333333329999999,0.333333333,3.0,128,45,45,1
0,10,7,92,0,0,26.0,6,0.6,5.956521738999999,1163,5.56,2598,1183,12,0.55,5,9.0,3,0.975833333,0.18614718600000002,2.0,196,139,137,1
0,9,6,33,0,0,6.0,3,1.0,3.192982456,1230,2.3608247419999997,8741,1622,2,1.0,1,0.0,1,0.9697916670000001,0.104240766,0.0,247,229,182,0
0,18,7,162,0,0,26.0,15,0.428571429,9.5,187,9.5,45,187,13,0.444444444,7,5.0,3,1.25,0.0,2.0,11,19,19,1
0,20,6,85,0,0,22.0,17,0.615384615,3.014925373,1979,2.9864864860000004,4383,2120,26,0.8,13,1.0,8,0.969074305,0.208080808,1.0,140,221,202,1
0,1,1,4,0,0,2.0,1,0.0,2.0,52,1.6,20,71,0,1.0,0,0.0,0,0.75,0.5,0.0,15,8,6,0
0,1,1,5,0,0,0.0,0,1.0,1.0,85,1.0,150,85,2,0.0,1,0.0,1,0.0,0.0,0.0,37,11,11,0
0,1,1,3,0,0,2.0,1,0.0,1.346153846,297,1.333333333,856,306,0,0.0,0,1.0,0,1.038461538,0.0,1.0,44,36,35,0
0,1,1,3,0,0,2.0,1,0.0,1.0,58,1.0,0,112,0,1.0,0,0.0,0,0.848484848,0.194444444,0.0,12,12,6,0
0,1,1,6,0,0,5.0,5,1.0,2.266666667,193,2.1176470590000003,306,203,4,0.0,2,0.0,2,1.0625,0.0,0.0,31,36,34,0
0,3,2,20,0,0,15.0,7,0.5,2.266666667,193,2.1176470590000003,306,203,4,0.0,6,4.0,3,1.0625,0.0,1.0,31,36,34,0
0,1,1,4,0,0,1.0,0,0.0,3.0,113,2.0,0,151,0,1.0,0,0.0,0,0.9285714290000001,0.6,0.0,8,16,12,0
0,1,1,3,0,0,0.0,0,0.0,1.2,41,1.142857143,18,59,0,0.0,0,0.0,0,0.666666667,0.3,0.0,43,8,6,0
0,1,1,6,0,0,6.0,3,0.0,1.0,336,1.0,0,372,0,1.0,0,0.0,0,1.0,0.0,0.0,13,13,9,0
0,4,3,25,0,0,6.0,6,0.0,1.454545455,295,1.434782609,0,307,0,0.0,0,0.0,0,0.875,0.12857142900000001,0.0,23,33,32,0
0,1,1,4,0,0,2.0,0,0.0,1.454545455,295,1.434782609,0,307,0,1.0,0,0.0,0,0.875,0.12857142900000001,0.0,23,33,32,0
0,1,1,5,0,0,1.0,0,0.0,1.454545455,295,1.434782609,0,307,0,1.0,0,0.0,0,0.875,0.12857142900000001,0.0,23,33,32,0
0,1,1,5,0,0,2.0,2,0.0,1.5,75,1.214285714,24,151,0,0.0,0,0.0,0,0.923076923,0.072727273,0.0,16,17,9,0
0,1,1,7,0,0,6.0,3,0.0,1.5,75,1.214285714,24,151,0,1.0,0,0.0,0,0.923076923,0.072727273,0.0,16,17,9,0
0,3,1,8,0,0,2.0,1,0.0,3.75,157,1.9166666669999999,88,309,0,1.0,0,0.0,0,0.926086957,0.11904761900000001,0.0,26,46,30,0
0,2,2,15,0,0,6.0,4,0.5,1.2,54,1.333333333,10,68,2,0.5,2,1.0,1,0.4,1.0,1.0,8,8,6,0
0,1,1,4,0,0,1.0,0,0.0,1.6,80,1.428571429,78,100,0,0.0,0,1.0,0,1.166666667,0.0,1.0,30,10,8,0
0,1,1,4,0,0,1.0,1,0.0,1.0,23,1.0,0,23,0,0.0,0,0.0,0,0.0,1.0,0.0,4,4,4,0
0,1,1,5,0,0,1.0,1,0.0,1.0,15,1.0,0,15,0,0.0,0,0.0,0,0.0,0.0,0.0,21,2,2,0
0,11,5,68,0,0,14.0,13,0.375,2.266666667,193,2.1176470590000003,306,203,16,0.0,8,1.0,3,1.0625,0.0,1.0,31,36,34,1
0,23,5,176,0,0,32.0,18,0.428571429,2.5,538,2.5,104,538,6,0.1,7,9.0,3,1.0,0.0,2.0,31,45,45,1
0,8,5,44,0,0,9.0,7,0.0,1.454545455,295,1.434782609,0,307,0,1.0,0,0.0,0,0.875,0.12857142900000001,0.0,23,33,32,1
0,1,1,3,0,0,2.0,1,0.0,2.0526315790000003,409,1.870967742,144,583,0,1.0,0,0.0,0,0.9259259259999999,0.177248677,0.0,49,58,39,0
0,1,1,3,0,0,1.0,0,1.0,2.965517241,656,2.965517241,1236,656,2,1.0,1,0.0,1,0.865384615,0.6125356129999999,0.0,66,86,86,0
0,1,1,3,0,0,2.0,1,0.0,2.880952381,2372,2.649122807,8500,2870,0,1.0,0,0.0,0,0.9802586790000001,0.10013325699999999,0.0,157,302,242,0
0,1,1,7,0,0,4.0,3,1.0,2.277777778,1164,2.3428571430000003,2510,1495,4,1.0,2,0.0,2,0.957180501,0.084325397,0.0,110,164,123,0
0,1,0,1,0,0,0.0,0,0.0,1.0,868,1.0,0,1726,0,0.0,0,0.0,0,0.0,0.0,0.0,132,132,68,0
0,1,1,10,0,0,7.0,0,1.0,3.595238095,1404,3.052631579,6529,1660,2,1.0,1,0.0,1,0.947544643,0.05389610400000001,0.0,152,174,151,0
0,1,0,1,0,0,0.0,1,0.0,1.0,859,1.0,0,1644,0,0.0,0,0.0,0,0.0,0.0,0.0,134,134,71,0
0,1,1,3,0,0,3.0,1,0.0,3.15625,976,2.365384615,1688,1283,0,0.0,0,0.0,0,0.9411764709999999,0.072695035,0.0,379,123,101,0
0,1,1,3,0,0,1.0,2,0.0,2.730337079,2220,2.0732984290000003,3812,3951,0,0.0,0,0.0,0,0.9845112779999999,0.019057913,0.0,208,396,243,0
0,2,2,6,0,0,3.0,2,0.0,2.730337079,2220,2.0732984290000003,3812,3951,0,1.0,0,0.0,0,0.9845112779999999,0.019057913,0.0,208,396,243,0
0,1,1,3,0,0,1.0,0,0.0,1.526315789,337,1.526315789,4,337,0,1.0,0,0.0,0,0.907407407,0.516483516,0.0,37,29,29,0
0,3,2,10,0,0,3.0,2,0.0,2.15,867,2.095238095,1353,888,0,1.0,0,0.0,0,0.9467849220000001,0.165165165,0.0,78,88,86,0
0,1,1,5,0,0,2.0,0,1.0,4.48,943,3.676470588,2407,1083,3,1.0,1,0.0,1,0.920110193,0.21957672,0.0,232,125,112,0
0,1,1,3,0,0,1.0,0,0.0,3.096774194,1136,2.921052632,3345,1271,0,1.0,0,0.0,0,0.98034398,0.034920635,0.0,215,111,96,0
